id,first_name,last_name,email,age,gender,state,street_address,postal_code,city,country,latitude,longitude,traffic_source,created_at,user_geom
29458,James,Reyes,jamesreyes@example.net,45,M,Acre,474 Martinez Brook Apt. 770,69980-000,null,Brasil,-8.065346116,-72.87094866,Search,2021-09-25 12:15:00+00:00,POINT(-72.87094866 -8.065346116)
59929,Joseph,Martinez,josephmartinez@example.net,29,M,Acre,042 Andrew Mountains Suite 522,69980-000,null,Brasil,-8.065346116,-72.87094866,Search,2021-07-23 13:02:00+00:00,POINT(-72.87094866 -8.065346116)
3447,David,Harvey,davidharvey@example.com,50,M,Acre,80745 Bell Cape,69980-000,null,Brasil,-8.065346116,-72.87094866,Search,2025-10-15 03:09:55.820992+00:00,POINT(-72.87094866 -8.065346116)
54708,Mark,Thompson,markthompson@example.org,20,M,Acre,94456 White Crescent Apt. 026,69980-000,null,Brasil,-8.065346116,-72.87094866,Search,2019-10-20 10:33:00+00:00,POINT(-72.87094866 -8.065346116)
47910,Henry,Cox,henrycox@example.org,17,M,Acre,951 Andrew Lock Apt. 596,69980-000,null,Brasil,-8.065346116,-72.87094866,Email,2022-02-26 18:51:00+00:00,POINT(-72.87094866 -8.065346116)
56544,Sean,Davis,seandavis@example.net,44,M,Acre,7814 Carrie Fords Apt. 691,69980-000,null,Brasil,-8.065346116,-72.87094866,Search,2022-12-24 07:38:00+00:00,POINT(-72.87094866 -8.065346116)
24195,Paul,Thomas,paulthomas@example.net,29,M,Acre,855 Ortiz Hills,69980-000,null,Brasil,-8.065346116,-72.87094866,Search,2020-09-02 08:22:00+00:00,POINT(-72.87094866 -8.065346116)
8043,Sarah,Flores,sarahflores@example.org,39,F,Acre,95249 Gallegos Street Apt. 435,69970-000,Tarauacá,Brasil,-8.325245103,-71.55302951,Facebook,2020-11-28 07:50:00+00:00,POINT(-71.55302951 -8.325245103)
73601,Ruben,Hays,rubenhays@example.net,46,M,Acre,85917 Ramirez Fields,69970-000,Tarauacá,Brasil,-8.325245103,-71.55302951,Search,2020-07-24 04:12:00+00:00,POINT(-71.55302951 -8.325245103)
46831,Lori,Adams,loriadams@example.com,37,F,Acre,0693 Williams Courts Suite 782,69970-000,Tarauacá,Brasil,-8.325245103,-71.55302951,Search,2024-11-29 00:56:00+00:00,POINT(-71.55302951 -8.325245103)
22587,Jim,Sanders,jimsanders@example.com,35,M,Acre,29817 Freeman Summit Apt. 363,69970-000,Tarauacá,Brasil,-8.325245103,-71.55302951,Facebook,2024-03-21 13:21:00+00:00,POINT(-71.55302951 -8.325245103)
53773,Roger,Clay,rogerclay@example.com,21,M,Acre,299 Elizabeth Stravenue Suite 644,69970-000,Tarauacá,Brasil,-8.325245103,-71.55302951,Search,2020-04-15 05:28:00+00:00,POINT(-71.55302951 -8.325245103)
33286,Sharon,Anderson,sharonanderson@example.org,12,F,Acre,8003 Garcia Wells,69970-000,Tarauacá,Brasil,-8.325245103,-71.55302951,Search,2022-04-17 14:32:00+00:00,POINT(-71.55302951 -8.325245103)
55180,Christina,Travis,christinatravis@example.org,40,F,Acre,7048 Crystal Freeway,69970-000,Tarauacá,Brasil,-8.325245103,-71.55302951,Search,2024-11-25 06:58:00+00:00,POINT(-71.55302951 -8.325245103)
21224,Chelsea,Rodriguez,chelsearodriguez@example.com,26,F,Acre,3940 Colleen Mall Apt. 650,69970-000,Tarauacá,Brasil,-8.325245103,-71.55302951,Search,2024-01-16 10:57:00+00:00,POINT(-71.55302951 -8.325245103)
47244,Leah,Wong,leahwong@example.org,66,F,Acre,485 Phillips Crossing Apt. 406,69970-000,Tarauacá,Brasil,-8.325245103,-71.55302951,Search,2022-10-09 06:53:00+00:00,POINT(-71.55302951 -8.325245103)
73874,Eric,Martinez,ericmartinez@example.org,20,M,Acre,8839 Miller Crossroad,69970-000,Tarauacá,Brasil,-8.325245103,-71.55302951,Search,2020-11-24 15:52:00+00:00,POINT(-71.55302951 -8.325245103)
77652,Aaron,Nelson,aaronnelson@example.org,24,M,Acre,43584 Aguilar Points,69940-000,Sena Madureira,Brasil,-9.857324143,-69.4370574,Organic,2022-07-01 13:04:00+00:00,POINT(-69.4370574 -9.857324143)
97616,Lisa,Daniel,lisadaniel@example.org,69,F,Acre,089 Gomez Port,69940-000,Sena Madureira,Brasil,-9.857324143,-69.4370574,Search,2019-06-16 04:32:00+00:00,POINT(-69.4370574 -9.857324143)
90354,Bobby,Martin,bobbymartin@example.com,17,M,Acre,61471 Rodriguez Locks,69940-000,Sena Madureira,Brasil,-9.857324143,-69.4370574,Facebook,2019-05-20 12:14:00+00:00,POINT(-69.4370574 -9.857324143)
65682,Mike,Romero,mikeromero@example.org,70,M,Acre,48268 Novak Ways Suite 083,69940-000,Sena Madureira,Brasil,-9.857324143,-69.4370574,Search,2022-05-20 14:15:00+00:00,POINT(-69.4370574 -9.857324143)
58430,Susan,Allen,susanallen@example.org,31,F,Acre,6687 Matthew Station Suite 004,69940-000,Sena Madureira,Brasil,-9.857324143,-69.4370574,Search,2019-06-13 06:05:00+00:00,POINT(-69.4370574 -9.857324143)
69817,Donna,Sharp,donnasharp@example.com,23,F,Acre,1019 Walker Coves Suite 739,69940-000,Sena Madureira,Brasil,-9.857324143,-69.4370574,Search,2024-12-23 04:32:00+00:00,POINT(-69.4370574 -9.857324143)
94512,Scott,Smith,scottsmith@example.com,45,M,Acre,6088 Mcbride Lights,69940-000,Sena Madureira,Brasil,-9.857324143,-69.4370574,Search,2022-03-13 15:13:00+00:00,POINT(-69.4370574 -9.857324143)
96330,Maria,Parks,mariaparks@example.net,12,F,Acre,5514 Eric Bridge,69940-000,Sena Madureira,Brasil,-9.857324143,-69.4370574,Search,2024-11-01 10:03:00+00:00,POINT(-69.4370574 -9.857324143)
38584,Sean,Morris,seanmorris@example.com,42,M,Acre,6231 Brian Mountains Apt. 747,69940-000,Sena Madureira,Brasil,-9.857324143,-69.4370574,Email,2022-03-11 10:22:00+00:00,POINT(-69.4370574 -9.857324143)
74082,Kenneth,Rocha,kennethrocha@example.com,59,M,Acre,754 Marc Glen,69917-400,Rio Branco,Brasil,-9.945567619,-67.83560991,Search,2021-08-07 16:13:00+00:00,POINT(-67.83560991 -9.945567619)
97154,Chase,Jackson,chasejackson@example.net,46,M,Acre,14046 Charles Loaf Suite 461,69917-400,Rio Branco,Brasil,-9.945567619,-67.83560991,Organic,2019-06-08 04:27:00+00:00,POINT(-67.83560991 -9.945567619)
62203,Justin,Kelly,justinkelly@example.net,54,M,Acre,6596 Margaret Cove Suite 908,69917-400,Rio Branco,Brasil,-9.945567619,-67.83560991,Search,2022-11-25 14:10:00+00:00,POINT(-67.83560991 -9.945567619)
70313,Gregory,Wilkinson,gregorywilkinson@example.org,64,M,Acre,8779 Aaron Village,69917-400,Rio Branco,Brasil,-9.945567619,-67.83560991,Search,2019-04-05 05:46:00+00:00,POINT(-67.83560991 -9.945567619)
53140,Michael,Green,michaelgreen@example.net,48,M,Acre,7526 Walker Meadows Suite 210,69917-400,Rio Branco,Brasil,-9.945567619,-67.83560991,Search,2024-01-29 00:14:00+00:00,POINT(-67.83560991 -9.945567619)
62878,Megan,Berry,meganberry@example.net,36,F,Acre,73339 Hanson Creek Suite 469,69917-400,Rio Branco,Brasil,-9.945567619,-67.83560991,Search,2022-03-31 02:56:00+00:00,POINT(-67.83560991 -9.945567619)
98136,Molly,Cuevas,mollycuevas@example.com,29,F,Acre,5319 Jackson Heights Apt. 847,69917-400,Rio Branco,Brasil,-9.945567619,-67.83560991,Search,2023-02-17 01:20:00+00:00,POINT(-67.83560991 -9.945567619)
85031,Barry,Rice,barryrice@example.org,20,M,Acre,93910 Michael Port,69917-400,Rio Branco,Brasil,-9.945567619,-67.83560991,Search,2022-07-21 12:17:00+00:00,POINT(-67.83560991 -9.945567619)
27207,Ronald,Oconnell,ronaldoconnell@example.com,57,M,Acre,10070 Williams Springs,69917-400,Rio Branco,Brasil,-9.945567619,-67.83560991,Search,2019-12-31 01:45:00+00:00,POINT(-67.83560991 -9.945567619)
77027,Lisa,Jones,lisajones@example.net,36,F,Acre,379 Gilmore Key Apt. 321,69917-400,Rio Branco,Brasil,-9.945567619,-67.83560991,Organic,2021-08-30 02:04:00+00:00,POINT(-67.83560991 -9.945567619)
89969,Patricia,Mitchell,patriciamitchell@example.net,62,F,Acre,27025 David Bypass,69917-400,Rio Branco,Brasil,-9.945567619,-67.83560991,Search,2024-06-18 12:02:00+00:00,POINT(-67.83560991 -9.945567619)
74445,Sonya,Berg,sonyaberg@example.org,53,F,Acre,66139 Austin Burg,69917-400,Rio Branco,Brasil,-9.945567619,-67.83560991,Search,2019-07-28 00:17:00+00:00,POINT(-67.83560991 -9.945567619)
53540,Michael,Martin,michaelmartin@example.org,63,M,Acre,6461 Parker Junction,69917-400,Rio Branco,Brasil,-9.945567619,-67.83560991,Search,2019-11-26 10:35:00+00:00,POINT(-67.83560991 -9.945567619)
14669,Rhonda,Bishop,rhondabishop@example.net,49,F,Acre,808 Courtney Ports,69917-400,Rio Branco,Brasil,-9.945567619,-67.83560991,Search,2025-04-19 04:10:00+00:00,POINT(-67.83560991 -9.945567619)
74640,Lisa,Ross,lisaross@example.com,12,F,Aichi,14756 Marshall Extension,494-0001,Ichinomiya City,Japan,35.31768384,136.767047,Search,2021-07-20 18:59:00+00:00,POINT(136.767047 35.31768384)
12328,Nathaniel,Singleton,nathanielsingleton@example.net,51,M,Aichi,85935 Gwendolyn Mission,494-0001,Ichinomiya City,Japan,35.31768384,136.767047,Search,2021-06-23 10:30:00+00:00,POINT(136.767047 35.31768384)
88881,Brandy,Reyes,brandyreyes@example.com,51,F,Aichi,260 Peter Village,455-0028,Nagoya city,Japan,35.06073258,136.8742865,Search,2020-11-21 18:43:00+00:00,POINT(136.8742865 35.06073258)
80513,Samantha,Smith,samanthasmith@example.com,23,F,Aichi,46872 Thompson Park Suite 727,455-0028,Nagoya city,Japan,35.06073258,136.8742865,Search,2025-03-07 18:07:00+00:00,POINT(136.8742865 35.06073258)
94044,Andrea,Dickson,andreadickson@example.com,34,F,Aichi,75766 Mary Mall,455-0028,Nagoya city,Japan,35.06073258,136.8742865,Search,2021-11-04 16:21:00+00:00,POINT(136.8742865 35.06073258)
70871,Jennifer,Barrett,jenniferbarrett@example.com,37,F,Aichi,54867 Eric Circle Apt. 263,455-0028,Nagoya city,Japan,35.06073258,136.8742865,Search,2023-03-25 15:26:00+00:00,POINT(136.8742865 35.06073258)
67801,Jamie,Mills,jamiemills@example.net,51,M,Aichi,0166 Diana Drive,476-0015,Tokai-shi,Japan,35.03206025,136.8772933,Search,2019-08-30 16:53:00+00:00,POINT(136.8772933 35.03206025)
59425,Karen,Wood,karenwood@example.net,62,F,Aichi,1824 Mejia Fall Suite 706,476-0015,Tokai-shi,Japan,35.03206025,136.8772933,Search,2022-06-01 11:37:00+00:00,POINT(136.8772933 35.03206025)
8898,Melissa,Valdez,melissavaldez@example.net,17,F,Aichi,6350 Erin Common Suite 688,481-0004,North Nagoya City,Japan,35.2467354,136.8779776,Search,2024-08-16 00:22:00+00:00,POINT(136.8779776 35.2467354)
21280,Mark,Morgan,markmorgan@example.com,24,M,Aichi,707 Alexa Place,481-0004,North Nagoya City,Japan,35.2467354,136.8779776,Search,2021-04-21 14:33:00+00:00,POINT(136.8779776 35.2467354)
92380,Amanda,Lopez,amandalopez@example.org,58,F,Aichi,2882 Walker Valleys,478-0001,Chita City,Japan,34.98477121,136.8893832,Facebook,2022-01-08 17:51:00+00:00,POINT(136.8893832 34.98477121)
49752,Joe,Rodriguez,joerodriguez@example.org,43,M,Aichi,798 Torres Vista Apt. 175,478-0001,Chita City,Japan,34.98477121,136.8893832,Organic,2019-08-21 06:13:00+00:00,POINT(136.8893832 34.98477121)
83804,Maria,Cooper,mariacooper@example.com,38,F,Aichi,6077 Thomas Forks,476-0005,Tokai-shi,Japan,35.05477516,136.8899718,Search,2021-04-09 00:17:00+00:00,POINT(136.8899718 35.05477516)
47603,Shane,Harris,shaneharris@example.com,34,M,Aichi,610 Luke Ridges Apt. 956,476-0005,Tokai-shi,Japan,35.05477516,136.8899718,Email,2020-04-16 16:37:00+00:00,POINT(136.8899718 35.05477516)
19896,Nathan,Hernandez,nathanhernandez@example.com,48,M,Aichi,621 Michelle Knoll,476-0005,Tokai-shi,Japan,35.05477516,136.8899718,Display,2021-02-16 07:27:00+00:00,POINT(136.8899718 35.05477516)
91793,Gregory,Smith,gregorysmith@example.net,32,M,Aichi,88404 Smith Alley Apt. 288,460-0011,Nagoya city,Japan,35.16020206,136.9019027,Organic,2023-01-13 04:50:00+00:00,POINT(136.9019027 35.16020206)
78940,Ann,Hernandez,annhernandez@example.com,21,F,Aichi,521 Brewer Crescent,460-0011,Nagoya city,Japan,35.16020206,136.9019027,Facebook,2024-04-10 02:05:00+00:00,POINT(136.9019027 35.16020206)
2057,Tammy,Randall,tammyrandall@example.net,46,F,Aichi,89489 Nash Brook,460-0008,Nagoya city,Japan,35.16555266,136.9043108,Search,2019-01-20 05:43:00+00:00,POINT(136.9043108 35.16555266)
89606,Renee,Peterson,reneepeterson@example.com,24,F,Aichi,934 Phillips Spur,460-0008,Nagoya city,Japan,35.16555266,136.9043108,Organic,2020-03-08 08:39:00+00:00,POINT(136.9043108 35.16555266)
15003,Alexis,Yoder,alexisyoder@example.org,61,F,Aichi,47148 Jimenez Rapids Suite 887,476-0003,Tokai-shi,Japan,35.03454129,136.9149222,Facebook,2024-02-27 15:16:00+00:00,POINT(136.9149222 35.03454129)
7986,Charlene,Waters,charlenewaters@example.org,26,F,Aichi,75117 Jasmine Court Suite 449,476-0003,Tokai-shi,Japan,35.03454129,136.9149222,Search,2022-05-08 03:37:00+00:00,POINT(136.9149222 35.03454129)
80558,Jonathan,Simmons,jonathansimmons@example.net,23,M,Aichi,585 Rush Shores,476-0003,Tokai-shi,Japan,35.03454129,136.9149222,Display,2021-08-05 02:18:00+00:00,POINT(136.9149222 35.03454129)
29884,Donald,Wells,donaldwells@example.com,27,M,Aichi,070 Marissa Haven,476-0003,Tokai-shi,Japan,35.03454129,136.9149222,Search,2021-06-24 17:02:00+00:00,POINT(136.9149222 35.03454129)
54801,Mary,White,marywhite@example.org,47,F,Aichi,107 Baker Groves Apt. 516,480-0202,Toyuyama-cho,Japan,35.24699965,136.9173158,Search,2022-11-03 10:17:00+00:00,POINT(136.9173158 35.24699965)
37031,Caleb,Garza,calebgarza@example.org,15,M,Aichi,149 Julie Unions Suite 720,480-0202,Toyuyama-cho,Japan,35.24699965,136.9173158,Search,2019-08-30 02:50:00+00:00,POINT(136.9173158 35.24699965)
10922,Anthony,Delgado,anthonydelgado@example.net,44,M,Aichi,9548 Rose Rapid,476-0002,Tokai-shi,Japan,35.05246054,136.9174159,Search,2019-11-03 09:03:00+00:00,POINT(136.9174159 35.05246054)
8995,Cynthia,Collins,cynthiacollins@example.com,18,F,Aichi,747 Kelly Lights Suite 270,476-0002,Tokai-shi,Japan,35.05246054,136.9174159,Search,2022-09-18 01:41:00+00:00,POINT(136.9174159 35.05246054)
97530,Phyllis,Holmes,phyllisholmes@example.com,20,F,Aichi,9029 Cynthia Port Suite 491,459-8001,Nagoya city,Japan,35.06327882,136.9400082,Search,2024-02-14 03:08:00+00:00,POINT(136.9400082 35.06327882)
12666,Ronald,Nichols,ronaldnichols@example.com,38,M,Aichi,920 Summer Island Apt. 116,459-8001,Nagoya city,Japan,35.06327882,136.9400082,Search,2020-09-25 05:34:00+00:00,POINT(136.9400082 35.06327882)
61788,Patrick,Nunez,patricknunez@example.org,28,M,Aichi,246 Fernandez Ranch,459-8001,Nagoya city,Japan,35.06327882,136.9400082,Search,2020-07-22 07:03:00+00:00,POINT(136.9400082 35.06327882)
27252,Danielle,Shaw,danielleshaw@example.com,23,F,Aichi,1170 Dean Ford Apt. 967,459-8001,Nagoya city,Japan,35.06327882,136.9400082,Search,2024-02-21 16:32:00+00:00,POINT(136.9400082 35.06327882)
9496,Dawn,Gonzales,dawngonzales@example.org,20,F,Aichi,697 Davis Street Apt. 300,459-8001,Nagoya city,Japan,35.06327882,136.9400082,Search,2024-02-07 01:09:00+00:00,POINT(136.9400082 35.06327882)
90721,Thomas,Wilson,thomaswilson@example.net,30,M,Aichi,2698 Sherman Knoll Suite 284,470-2102,Higashiura-cho,Japan,34.97464958,136.9459425,Organic,2022-06-24 15:27:00+00:00,POINT(136.9459425 34.97464958)
55162,Amanda,Yang,amandayang@example.com,43,F,Aichi,250 Lee Divide,470-2102,Higashiura-cho,Japan,34.97464958,136.9459425,Search,2019-08-27 18:54:00+00:00,POINT(136.9459425 34.97464958)
58559,Tammy,Burton,tammyburton@example.org,48,F,Aichi,88133 Gina Islands,470-2102,Higashiura-cho,Japan,34.97464958,136.9459425,Organic,2024-01-31 00:22:00+00:00,POINT(136.9459425 34.97464958)
4274,Jeffrey,Park,jeffreypark@example.net,70,M,Aichi,85784 Joshua Rue Suite 742,470-2102,Higashiura-cho,Japan,34.97464958,136.9459425,Search,2022-04-20 07:18:00+00:00,POINT(136.9459425 34.97464958)
55360,Daniel,Hopkins,danielhopkins@example.com,64,M,Aichi,095 Carter Plaza,470-2103,Higashiura-cho,Japan,34.96309047,136.9606095,Facebook,2020-03-03 16:46:00+00:00,POINT(136.9606095 34.96309047)
2693,Benjamin,Wong,benjaminwong@example.org,62,M,Aichi,745 Garza Inlet,458-0801,Nagoya city,Japan,35.0830664,136.9657866,Search,2019-08-30 14:41:00+00:00,POINT(136.9657866 35.0830664)
46594,Meredith,Nguyen,meredithnguyen@example.com,40,F,Aichi,9699 Oneal Points Apt. 836,458-0801,Nagoya city,Japan,35.0830664,136.9657866,Search,2022-11-04 05:05:00+00:00,POINT(136.9657866 35.0830664)
77558,Jason,Adams,jasonadams@example.org,28,M,Aichi,23620 Joseph Circles,458-0801,Nagoya city,Japan,35.0830664,136.9657866,Search,2021-03-02 08:59:00+00:00,POINT(136.9657866 35.0830664)
69873,Amanda,Burns,amandaburns@example.org,16,F,Aichi,40305 Carlson Mountains Apt. 224,448-0813,Kariya City,Japan,34.96226727,137.0049315,Search,2022-08-20 13:49:00+00:00,POINT(137.0049315 34.96226727)
9164,William,Sexton,williamsexton@example.net,14,M,Aichi,0415 Solis Village,448-0813,Kariya City,Japan,34.96226727,137.0049315,Organic,2023-02-08 06:42:00+00:00,POINT(137.0049315 34.96226727)
88115,Michelle,Hernandez,michellehernandez@example.org,67,F,Aichi,484 Michael Inlet Suite 268,448-0813,Kariya City,Japan,34.96226727,137.0049315,Facebook,2025-10-16 18:52:30.235786+00:00,POINT(137.0049315 34.96226727)
48473,Patricia,Jacobson,patriciajacobson@example.net,58,F,Aichi,4552 Joyce Springs,448-0813,Kariya City,Japan,34.96226727,137.0049315,Search,2022-06-16 08:30:00+00:00,POINT(137.0049315 34.96226727)
65465,Daisy,Shields,daisyshields@example.net,43,F,Aichi,4066 Mcmillan Ridge,470-1101,Ming Ming,Japan,35.07208199,137.0265393,Search,2019-02-09 04:36:00+00:00,POINT(137.0265393 35.07208199)
41125,Amber,Martinez,ambermartinez@example.net,62,F,Aichi,7099 Williams Path Suite 532,470-1101,Ming Ming,Japan,35.07208199,137.0265393,Search,2025-08-31 13:57:00+00:00,POINT(137.0265393 35.07208199)
37106,Jesse,Underwood,jesseunderwood@example.org,36,M,Aichi,2729 Amanda Port Apt. 422,446-0053,Anjo city,Japan,34.94684164,137.0272689,Facebook,2019-05-02 15:54:00+00:00,POINT(137.0272689 34.94684164)
5318,Aaron,Beck,aaronbeck@example.net,61,M,Aichi,9547 Warren Fork,470-0162,Togo-cho,Japan,35.09201511,137.0403616,Email,2022-07-25 18:10:00+00:00,POINT(137.0403616 35.09201511)
